licensePlate,brand,model,year,segment,dailyPrice,status
34ABC123,Toyota,Corolla,2022,SEDAN,450.0,AVAILABLE
06DEF789,Ford,Focus,2021,SEDAN,400.0,AVAILABLE
35GHI012,BMW,X5,2023,SUV,1200.0,AVAILABLE
07JKL345,Renault,Clio,2023,HATCHBACK,350.0,RESERVED
34MNO678,Mercedes-Benz,C200,2023,SEDAN,950.0,IN_USE
35PQR901,Volkswagen,Tiguan,2022,SUV,850.0,MAINTENANCE
34STU234,Hyundai,i20,2021,HATCHBACK,320.0,AVAILABLE
16VWX567,Fiat,Egea,2022,ECONOMY,280.0,AVAILABLE
06YZA890,Audi,A6,2024,LUXURY,1800.0,AVAILABLE
35BCD123,Peugeot,3008,2023,SUV,780.0,IN_USE
01EFG456,Dacia,Sandero,2022,ECONOMY,260.0,AVAILABLE
34HIJ789,Volvo,XC60,2023,LUXURY,1500.0,AVAILABLE
